ko,name,description,disease_category
"H01444","Enterococcal infection","Enterococci are Gram-positive, catalase-negative, non-spore-forming, facultative anaerobic bacteria, which usually inhabit the alimentary tract of humans in addition to being isolated from environmental and animal sources. The species of the greatest clinical importance are Enterococcus faecalis and Enterococcus faecium. Enterococcal infections include urinary tract infections, hepatobiliary sepsis, endocarditis, surgical wound infection, bacteraemia and neonatal sepsis.","Infectious disease"
"H00596","Nonaka distal myopathy (NM)","Nonaka distal myopathy, also known as distal myopathy with rimmed vacuoles (DMRV) or hereditary inclusion body myopathy (hIBM) is an adult onset slowly progressive myopathy secondary to mutations in the UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase (GNE) gene that encodes a bifunctional enzyme which catalyzes the rate-limiting step in sialic acid biosynthesis. DMRV is a myopathy involving distal muscles, although other muscles are likewise involved. The pathological characteristics are the presence of rimmed vacuoles in muscle fibers, but are not specific to this myopathy, and the presence of scattered small angular and atrophic fibers.","Nervous system disease; Musculoskeletal disease"
"H01676","Normal pressure hydrocephalus","Normal pressure hydrocephalus (NPH) is a progressive brain disease characterized by gait impairment, urinary incontinence, and dementia, and by ventricular enlargement in the absence of elevated intracranial pressure. NPH can be secondary to disease processes that cause inflammation of the arachnoid, such as subarachnoid hemorrhage, traumatic brain injury, or meningitis. As many as half of patients with NPH have no identifiable risk factor, and it is called idiopathic normal pressure hydrocephalus (INPH). Although INPH is usually considered an acquired form of hydrocephalus because the onset of symptoms is not until late in life, it has been reported that a subset of patients with INPH may actually have congenital hydrocephalus. Symptoms can be alleviated with a cerebrospinal fluid (CSF) shunt.","Nervous system disease"
"H00139","alpha-Mannosidosis","Alpha-mannosidosis is an autosomal recessive lysosomal storage disorder caused by deficient activity of alpha-mannosidase in glycoprotein catabolism. The enzymatic defect results in the accumulation of mannose-rich oligosaccharides in many organs. Alpha-mannosidosis is characterized by immune deficiency, facial and skeletal abnormalities, hearing impairment, and mental retardation. The disorder has been described as two distinct phenotypes: a severe form with hepatomegaly and early death following severe infections (type 1) and a mild form with hearing loss and mental retardation (type 2).","Inherited metabolic disease; Lysosomal storage disease"
"H00905","Iminoglycinuria","Iminoglycinuria is a benign condition characterized by the excretion of proline, hydroxyproline, and glycine in the urine. The disorder is of autosomal recessive inheritance and is genetically complex. Inactivation or reduced function of SLC36A2 (PAT-2) is the predominant determinant of the iminoglycinuria phenotype in humans. Mutations in SLC6A20 (SIT-1) and SLC6A19 (B0AT1) could also be the cause.","Urinary system disease; Kidney disease; Inherited metabolic disease"
"H02038","X-linked panhypopituitarism","X-linked panhypopituitarism is a rare genetic condition characterized by hypopituitarism, delayed pubertal development, and short stature. Duplications and deletions of Xq26-27 including SOX3 have been implicated in the etiology of this disease.","Endocrine disease"
"H01649","Schizophrenia","Schizophrenia is a common serious psychotic illness that typically emerges in late adolescence and early adulthood. It is characterized by hallucinations and delusions (commonly known as positive symptoms), social withdrawal, alogia, and flat affect (negative symptoms), and cognitive disabilities. While treatments exist for the psychotic symptoms of schizophrenia, there is no effective therapy to prevent the cognitive impairments. The disorder is substantially heritable, but expression of the clinical phenotype is likely to involve the interplay of multiple susceptibility variants, epigenetic factors, and environmental influences. Although it has been suggested that many of the promising candidate genes are involved in the development and maintenance of synaptic function, the most of them remains to be identified. The pathogenic mechanisms underlying schizophrenia are unknown, but observers have repeatedly noted pathological features involving excessive loss of gray matter and reduced numbers of synaptic structures on neurons. Recently, it has been found that alleles of the C4 genes are associated with schizophrenia in proportion to their tendency to promote greater expression of C4A in the brain.","Mental and behavioural disorder"
"H01823","Myoclonic-astatic epilepsy","Myoclonic astatic epilepsy (MAE), also known as Doose syndrome, is a generalized epilepsy syndrome of young children that includes multiple different seizure types, of which myoclonic and astatic seizures were the most prominent. The electro- encephalogram (EEG) tracings may be normal initially, but later develop a characteristic biparietal theta background rhythm, and irregularly generalized spike wave, and polyspike wave discharges. In general, children are developmentally normal before the onset of epilepsy and organic brain abnormalities are absent. Long-term prognosis varies from cessation of seizures with normal developmental outcome to intractable epilepsy with mental retardation. Favorable outcomes were reported in half to two-thirds of cases. Treatment strategies such as corticosteroids, ethosuximide, and valproate have been described as only partially effective, but newer anticonvulsants, such as levetiracetam and zonisamide, may provide additional seizure control. The most effective treatment reported to date appears to be the ketogenic diet.","Nervous system disease"
"H01671","Neurosis","Neurosis is a class of functional mental disorders involving distress but neither delusions nor hallucinations, whereby behavior is not outside socially acceptable norms. The state of research on neurosis has moved towards looking at biological and genetic substrates or mechanisms underlying neurosis. The recent literature shows acceptance of common mental disorders such as Generalized anxiety disorder (GAD), Panic disorder (PD), and Obsessive-compulsive disorder (OCD), across cultures replacing neurotic disorder. Usage of the diagnosis of neurosis has been decreased, and replaced by newer categories in the current popular classificatory systems. In the International Classification of Diseases (ICD-10), all disorders regarded as neurosis remained together but under the division of rubric 'neurotic, stress-related and somatoform disorders'. In the Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition (DSM-IV), neurosis has been eliminated as a category.","Mental and behavioural disorder"
"H01443","Viridans group streptococcal infection","The viridans group streptococci (VGS), a heterogenous group of streptococcal species, are the predominant species of the human oral flora and commonly inhabit other areas of the upper respiratory, gastrointestinal, and female genital tracts. VGS are usually organisms of low virulence. However, VGS are a major cause of sepsis and pneumonia in neutropenic individuals, and an important cause of sepsis and meningitis in neonates. These organisms are also occasional pathogens in healthy children and adults, causing infections such as subacute endocarditis. Although VGS resistance to penicillin and the macrolide-lincosamide-streptogramin B (MLS) drugs is an evolving problem, several drugs remain uniformly active against the VGS. Thus far, VGS resistance to vancomycin, linezolid, and daptomycin remains extremely rare.","Infectious disease"
"H00591","Facioscapulohumeral muscular dystrophy","Facioscapulohumeral muscular dystrophy (FSHD) is a usually autosomal dominant inherited form of muscular dystrophy. At disease onset, typically in the second decade of life, FSHD is characterized by initially restricted weakness of shoulder and facial muscles. With progression, the lower extremities, both distal and proximal, become involved. FSHD is caused by a reduction in the copy number of the D4Z4 macrosatellite repeat. However, the reduction of D4Z4 copy number is not sufficient by itself to cause FSHD. A number of epigenetic events appear to affect the severity of the disease, its rate of progression, and the distribution of muscle weakness.","Nervous system disease; Musculoskeletal disease"
"H01027","Microphthalmia","Anophthalmia and/or microphthalmia (A/M) can be defined as an absence or reduced size of the globe in the orbit. Anophthalmia refers to complete absence of the globe in the presence of ocular adnexae. Microphthalmia is defined as a globe with a total axial length that is at least two standard deviations below the mean for age. Coloboma, or a defect in the closure of the choroid fissure, is most common ocular malformation associated with microphthalmia. Coloboma is considered to be part of the A/M spectrum. A/M can be isolated, associated other anomalies or part of a well defined syndrome. A/M have complex aetiology with chromosomal, monogenic and environmental causes identified.","Congenital malformation"
"H02490","Gabriele-de Vries syndrome","Gabriele-de Vries syndrome (GADEVS) is an intellectual disability syndrome caused by mutations in YY1. YY1 encodes a multi-functional transcription factor involved in many regulatory processes.","Mental and behavioural disorder"
"H01215","Simpson-Golabi-Behmel syndrome","Simpson Golabi Behmel syndrome (SGBS) is a complex congenital overgrowth syndrome with features that include macroglossia, macrosomia, and renal and skeletal abnormalities as well as an increased risk of embryonal cancers. Most cases of SGBS is type 1, that appear to arise as a result of either deletions or point mutations within the glypican-3 (GPC3) gene. SGBS type 2 is a severe variant, that is associated with defects in OFD1.","Congenital malformation"
"H00101","Other phagocyte defects","Chediak-Higashi syndrome (CHS) is a rare autosomal recessive disorder characterized by partial skin and ocular albinism, increased susceptibility to infections, and progressive neuropathy. Clinical reports of CHS have identified mutations throughout the CHS1/LYST gene. Griscelli syndrome (GS) is a rare autosomal recessive disorder caused by mutations in either the myosin VA (GS1), RAB27A (GS2) or melanophilin (GS3) genes. GS is characterized by partial albinism, hepatosplenomegaly, progressive neurological deterioration, hypogammaglobulinemia and pancytopenia. Abnormal-beta-actin disease accompanies neutrophil chemotactic dysfunction. Neutrophil specific granule deficiency is a rare disorder of neutrophil function characterized by a lack of neutrophil secondary granule proteins and associated with recurrent bacterial infections. It has been linked to a defect in the transcription factor CCAAT/enhancer binding protein (C/EBP) epsilon. Myeloperoxidase deficiency is the most common inherited disorder of neutrophils. Heterogeneous mutations in the gene encoding myeloperoxidase have been described. Glucose-6-phosphate dehydrogenase (G6PD) deficiency is a X-chromosomally transmitted disorder. The most frequent clinical manifestations of G6PD deficiency are neonatal jaundice, and acute haemolytic anaemia, which is usually triggered by an exogenous agent. Shwachman-Diamond syndrome (SDS) is a rare autosomal-recessive, multisystem disease characterized by exocrine pancreatic insufficiency, impaired hematopoiesis, and leukemia predisposition. The only gene known to be associated with SDS is SBDS, which encodes a ribosome maturation protein.","Primary immunodeficiency"
"H02464","Poretti-Boltshauser syndrome","Poretti-Boltshauser syndrome is an autosomal recessive disorder characterized by nonprogressive cerebellar ataxia, intellectual disability, and ocular apraxia with cerebellar cysts. It has been reported that mutations in LAMA1 cause this disease.","Congenital malformation"
"H00333","Streptococcal infection","Streptococci are gram-positive bacteria. Among the beta-hemolytic streptococci, Streptococcus pyogenes (Group A streptococci, GAS) and Streptococcus agalactiae (Group B streptococci, GBS) are major human pathogens. GAS causes over 600 million cases of infections each year, ranging from mild pharyngitis to severe streptococcal toxic shock-like syndrome (STSS), and GBS causes neonatal invasive infections including sepsis, pneumonia, and meningitis.","Infectious disease"
"H02000","Dihydrolipoamide dehydrogenase deficiency","Dihydrolipoamide dehydrogenase (DLD) deficiency, also known as maple syrup urine disease type III, is a rare autosomal recessive disorder. DLD functions as the E3 subunit of three mitochondrial enzyme complexes: branched chain alpha-ketoacid dehydrogenase, alpha-ketoglutarate dehydrogenase, and pyruvate dehydrogenase. DLD deficiency variably presents with either a severe neonatal encephalopathic phenotype or a primarily hepatic phenotype.","Inherited metabolic disease"
"H01685","Autoimmune hepatitis","Autoimmune hepatitis (AIH) is a chronic inflammatory liver disorder with an etiology that remains unclear. The pathogenesis may be a result of alterations in immune tolerance, a genetic predisposition and environmental conditions, which in collaboration induce a T-cell-mediated attack on liver antigens, leading to necro-inflammation and liver damage. AIH has marked female predilection. AIH can present at all ages, but the two peak ages of incidence are in childhood or adolescence and at around 40 years of age. Trademark biochemical/serological characteristics of AIH are elevated aminotransferase levels, positivity for autoantibodies and increased IgG. A histological picture of interface hepatitis is typical of AIH. The value of immunosuppressive therapy with glucocorticoids, alone or in combination with azathioprine, was well documented in numerous studies of AIH.","Immune system disease; Liver disease"
"H00757","Dyggve-Melchior-Clausen disease","Dyggve-Melchior-Clausen disease (DMC) is a rare autosomal recessive disorder characterized by the association of spondylo-epimetaphyseal dysplasia and mental retardation. The patients have a shortened trunk, striking barrel-shaped thorax, rhizomelic limb shortening, and distal deformities. A clinical entity similar to DMC but without mental retardation is called Smith McCort dysplasia. [DS:H02497]","Congenital malformation"
"H00565","Sarcoglycanopathies","Sarcoglycanopathies are a group of a four genetically closely related muscular dystrophies with a phenotype often similar to the X-linked Duchenne muscular dystrophy [DS:H00562]. It has been demonstrated that pathological mutations of the alpha-sarcoglycan (SG), beta-SG, gamma-SG, and delta-SG genes cause autosomal recessive muscular dystrophies. Clinical presentation of sarcoglycanopathies is characterized by a slowly progressive proximal muscle weakness, leading to loss of ambulation during adolescence in most patients.","Nervous system disease; Musculoskeletal disease"
"H02232","CAGSSS syndrome","Cataracts, growth hormone deficiency, sensory neuropathy, sensorineural hearing loss, and skeletal dysplasia (CAGSSS) is a very rare autosomal recessive disorder. It has been reported that mutations in IARS2 are associated with this disease. IARS2 encodes the mitochondrial isoleucine-tRNA synthetase.","Congenital malformation"
"H01018","Metachondromatosis","Metachondromatosis (MC) is a rare, autosomal dominant condition affecting the growth of bones. It is characterized by exostoses (osteochondromas) and enchondromas. Exostotic lesions occur frequently in the digits and tend to grow toward the joint. MC exostoses may regress or even resolve over time.","Congenital malformation"
"H01824","CODAS syndrome","CODAS (cerebral, ocular, dental, auricular, skeletal anomalies) syndrome is a rare multiple congenital anomalies syndrome. The anomalies referred to in the acronym are as follows: cerebral-developmental delay, ocular-cataracts, dental-aberrant cusp morphology and delayed eruption, auricular-malformations of the external ear, and skeletal-spondyloepiphyseal dysplasia. The disorder is highly distinctive with characteristic features consisting of developmental delay, cataracts, unusual enamel projections, overfolded and crumpled ears, epiphyseal dysplasia, and dysmorphic features (grooved nose, ptosis). Recently, mutations in LONP1 gene have been mapped and identified as causative of this disorder. LONP1 encodes Lon protease, a homohexameric enzyme that mediates protein quality control, respiratory-complex assembly, gene expression, and stress responses in mitochondria.","Congenital malformation"
"H01488","Hyperphosphatasia with mental retardation syndrome","Hyperphosphatasia with mental retardation syndrome (HPMRS), also known as Mabry syndrome, is an autosomal recessive disorder comprising intellectual disability and elevated levels of serum alkaline phosphatase, often accompanied by seizures, facial dysmorphism, and various anomalies such as brachytelephalangy. Mutation in different genes result in phenotypic variation.","Inherited metabolic disease"
"H00768","Autosomal recessive mental retardation","Mental retardation (MR) is a neurodevelopmental disorder characterized by low intelligence quotient (IQ) and deficits in adaptive behaviors. Although X-linked MR has been extensively studied, and over 80 causal genes have been cloned, little is known about the genetic basis of autosomal recessive mental retardation (MRT). To date, several genes have been identified. These genes have a variety of functions and participate in multiple biochemical pathways. In addition, there are several known disease loci for which genes have not yet been identified.","Mental and behavioural disorder"
"H00902","Speech-language disorder 1","Speech-language disorder-1 is an autosomal dominant disorder caused by mutations of the FOXP2 transcription factor gene. It has been reported that mutations of the FOXP2 cause a monogenic syndrome characterized by impaired speech development and linguistic deficits.","Mental and behavioural disorder"
"H01870","Microhydranencephaly","Microhydranencephaly (MHAC) is a serious developmental brain anomaly characterized by microcephaly with severe reduction of brain hemispheres and intracranial space filled with cerebrospinal fluid without signs of intracranial hypertension. In the patients with MHAC, homozygous mutations in NDE1 gene have been identifed.","Congenital malformation"
"H01428","Xeroderma pigmentosum","Xeroderma pigmentosum (XP) is a rare autosomal-inherited, skin and neurodegenerative disease in which exposure to sunlight can result in a high incidence of skin and mucous membrane cancer. XP is classified into eight genetic complementation groups by the present. In this inside, 7 groups from the XP-A group to the G group show the abnormality in nucleotide excision repair (NER). The symptoms of XP begin in early life. Severe sunburn and blistering occurs in a half of patients, and all show early extensive freckling. Cancer incidence for individuals with XP under 20 years of age is 2,000 times as high as incidence in the general population. Neurodegeneration can be correlated with mutations in specific XP genes (XPA, ERCC3, ERCC2 and ERCC5).","Congenital malformation"
"H02259","Stormorken syndrome","Stormorken syndrome is a rare autosomal dominant disease with mild bleeding tendency, thrombocytopathy, thrombocytopenia, mild anemia, asplenia, tubular aggregate myopathy, miosis, headache, and ichthyosis. The STIM1 mutation found in Stormorken syndrome patients is located in the coiled-coil 1 domain, which might play a role in keeping STIM1 inactive. STIM1 encodes a major calcium sensor of the endoplasmic reticulum.","Hematologic disease"
"H00956","Lattice corneal dystrophies","Lattice corneal dystrophy (LCD), the most common of the stromal cornea dystrophies, is an autosomal dominant dystrophy with variable expression. Clinical findings include the presence of a linear network of subepithelial opacities (lattice lines). LCD associated with the mutations in the TGFBI gene has been reported.","Nervous system disease"
"H01884","Auriculocondylar syndrome","Auriculocondylar syndrome (ACS) is a rare craniofacial malformation syndrome characterized by mandibular hypoplasia and question-mark ears (QME). QMEs, consisting of a specific defect at the lobe-helix junction, can also occur as an isolated anomaly. Studies have indicated the essential role of endothelin 1 (EDN1) signaling through the endothelin receptor type A (EDNRA) in patterning the mandibular portion of the first pharyngeal arch. Mutations in the PLCB4 and GNAI3, predicted to function as signal transducers downstream of EDNRA, have recently been reported in ACS.","Congenital malformation"
"H00358","Chagas disease","Chagas disease, also known as American trypanosomiasis, is caused by infection with protozoan parasite Trypanosoma cruzi. The infection is transmitted by hematophagous reduviid insect vectors through fecal contamination. The majority of infected individuals live in Latin American countries. Chagas disease is characterized by an acute phase followed by a chronic phase, with sustained inflammation that causes cardiomyopathy, digestive disorders, and neuropathies.","Infectious disease"
"H02292","Retinal dystrophy, juvenile cataracts, and short stature syndrome","Retinal dystrophy, juvenile cataracts, and short stature syndrome (RDJCSS) is an autosomal recessive retinitis pigmentosa with systemic features, including facial dysmorphologies, psychomotor developmental delays, learning disabilities and short stature. RDJCSS is caused by nonsense mutations in retinol dehydrogenase RDH11. In the eye, RDH11 has an oxidoreductive function in the visual cycle.","Congenital malformation"
"H01417","Acute encephalitis","Acute encephalitis is a serious form of neurological disease caused by inflammation of the brain parenchyma. It is generally characterized by the acute onset of fever, altered mental status, new onset of focal neurological symptoms, and generalized or focal seizures. It can develop with various etiologies, but viral infection and autoimmune disorders are the most common. Causes of acute viral encephalitis include herpes simplex virus, other herpes viruses, adenoviruses, influenza A.","Infectious disease"
"H01625","Buerger disease","Buerger disease, also known as thromboangiitis obliterans, is a nonatherosclerotic, inflammatory disease that most commonly affects the small and medium-sized arteries and veins in the upper and lower extremities. Cigarette smoking has been implicated as the main etiology of the disease. Although Buerger's disease has a worldwide distribution, it is more prevalent in the Middle East and Far East and classically develops in male smokers younger than 45 years. There may be a predisposition to development of Buerger's disease, although no gene has been identified to date. The most common symptom is pain at rest and claudication in the affected hands or feet. Other symptoms include cold insensitivity, diminished peripheral pulses, cyanosis, skin atrophy, and reduced hair growth. As the disease progresses, patients will develop ischemic ulcerations and eventually gangrene. Abstinence from smoking is the definitive treatment to prevent disease progression. Medical line of treatment with vasodilators, pentoxyfylline, and cilostazol may help improve pain-free walking distance but cannot prevent disease progression. Surgical treatment in form of revascularization and sympathectomy increases peripheral blood flow and decreases the rate of amputations. Newer therapy with prostaglandins, bosentan, and stem cell therapy has shown promising results.","Vascular disease"
"H00393","Enterovirus infection","Enteroviruses are a large and diverse group of viruses belonging to the genus Enterovirus in the family Picornaviridae of +ssRNA viruse. Most non-polio enterovirus infections are mild, but some of them can cause hand, foot and mouth disease, viral conjunctivitis, viral meningitis and other diseases.","Infectious disease"
"H01241","Congenital diaphragmatic hernia","Congenital diaphragmatic hernia (CDH) is defined as a protrusion of abdominal viscera into the thorax through an abnormal opening or defect that is present at birth. CDH is often associated with potentially lethal lung hypoplasia and pulmonary hypertension. Despite advances in therapy, mortality remains high. Although the etiology of most cases of CDH remains unknown, there is increasing evidence that specific pathways and genes play a role in the development of CDH. It has been reported that a patient who has nonsense mutation in FOG2/ ZFPM2, died at birth with a diaphragmatic defect and severe pulmonary hypoplasia.","Congenital malformation"
"H01073","Shewanella infection","Shewanella putrefaciens and Shewanella algae, which are frequently found in non-human sources, are opportunistically pathogenic for humans. Shewanella infection is associated with a wide clinical spectrum including bacteremia/septicemia, skin and soft-tissue infection, biliary tract infection, peritonitis, and empyema, and soft-tissue infection is most frequent. Bacteremia/septicemia can cause death in some cases.","Infectious disease"
"H00367","Infectious mononucleosis","Epstein-Barr virus (EBV) is a common gammaherpesvirus whose initial infection manifests as infectious mononucleosis that is defined as a clinical triad of fever, pharyngitis, and adenopathy. EBV establishes a life-long asymptomatic infection in B cells and can contribute to oncogenesis including Burkitt's lymphoma, nasopharyngeal carcinoma, Hodgkin lymphoma, and post-transplant B cell lymphomas.","Infectious disease"
"H02430","Ataxia, combined cerebellar and peripheral, with hearing loss and diabetes mellitus","Ataxia, combined cerebellar and peripheral, with hearing loss and diabetes mellitus (ACPHD) is an autosomal recessive disorder caused by loss-of-function mutations in DNAJC3. It encodes ER protein which serves to attenuate late phases of ER stress. ACPHD is characterized by juvenile-onset diabetes and central and peripheral neurodegeneration, including ataxia, upper-motor-neuron damage, peripheral neuropathy, hearing loss, and cerebral atrophy.","Nervous system disease"
"H00969","Skeletal defects, genital hypoplasia, and mental retardation","This syndrome is associated with mental retardation, craniofacial dysmorphism, disproportionate short stature, and genital hypoplasia. Skeletal dysplasia includes absence of the thumbs, hypoplasia of the radius and ulna, and additional vertebral bodies and ribs. The causative gene is ZBTB16, one of the fusion partners with retinoic acid receptor-alpha in acute promyelocytic leukemia.","Congenital malformation"
"H00155","Familial hypercholesterolemia","Familial hypercholesterolaemia is an autosomal dominant disorder caused by deficiency of low density lipoprotein receptor. Other forms of this disorder include hypercholesterolemia caused by mutation of APOB or PCSK9 gene. This disorder is characterized by severely elevated plasma LDL cholesterol, tuberous and tendon xanthomata, and premature atherosclerosis. Patients have a significantly elevated risk of early coronary heart disease.","Inherited metabolic disease; Cardiovascular disease"
"H01087","Balantidiasis","Balantidiasis is a zoonotic disease caused by protozoan Balantidium coli, which is acquired by humans via the fecal-oral route from the natural reservoir, pigs. Humans may remain asymptomatic or may develop dysentery due to the ulcerations in the colon. Balantidiasis is mostly restricted to tropical/subtropical regions where people live in close proximity to their livestock.","Infectious disease"
"H02266","Palmoplantar keratoderma, Bothnian type","Palmoplantar keratoderma, Bothnian type (PPKB) is one of the non-epidermolytic palmoplantar keratoderma. PPKB was initially reported to be prevalent in the north of Sweden, along the Gulf of Bothnia. The clinical characteristics of PPKB include diffuse, homogeneous, and even palmoplantar hyperkeratosis with swollen stratum corneum, which distinctively exhibits a whitish spongy appearance upon exposure to water. PPKB is consistent the autosomal-dominant disorder caused by mutations in the aquaporin 5 gene, AQP5.","Congenital malformation"
"H00531","Venous malformations","Venous malformations are vascular anomalies that present with congenital blue-colored birthmarks resulted from dilated veins. Venous malformations are low-flow vascular malformations. Majority of them occur in the head and neck region. Birthmarks in cutaneomucosal venous malformation appear mainly on skin and mucosa, whereas plaques in glomuvenous malformation are located on the extremities, usually nodular and associated with abnormal smooth muscle-like 'glomus cells'. Most cases are unifocal, with extensive venous malformations accounting for only one percent of cases and more commonly manifesting as rare, inherited forms. Venous malformations will grow with age, infiltrating normal structures. They can give rise to functional disabilities, including obstruction to airway and swallowing difficulties. Also, they can cause visual or auditory disturbance and delayed speech development. In addition, bleeding, pain, infection, skeletal deformity, and cosmetic disfigurement may occur. Active treatment of venous malformations is indicated especially in head and neck region. Surgery can cause damage to normal surrounding structures, resulting in significant disfigurement and loss of function. Complete excision is often impossible for infiltrative lesions. Sclerotherapy has gained popularity recently and become the first-line treatment for venous malformations in head and neck region.","Congenital malformation"
"H00703","Myosin storage myopathy","Myosin storage myopathy (MSM), also called hyaline body myopathy, is a rare congenital myopathy with variable inheritance characterized by the presence of sub-sarcolemmal hyaline bodies in type I muscle fibers and predominantly proximal muscle weakness. Clinically, patients exhibit variable age of onset ranging from birth through childhood, and occasionally middle age. Symptoms also vary, but typically include slowly progressive muscle hypertonia, scapularperoneal weakness, and respiratory insufficiency. MSM has been associated with 4 missense mutations in the MYH7 gene, which encodes slow/beta-cardiac myosin heavy chain (MyHC). The disease causing mutations in MYH7 are located in the alpha-helical coiled-coil tail.","Nervous system disease; Musculoskeletal disease"
"H02054","Crigler-Najjar syndrome","Crigler-Najjar (CN) syndrome is a familial unconjugated hyperbilirubinemia. It is caused by deficiency of bilirubin-UDP-glucuronosyltransferase (UGT1A1) which is involved in the detoxification of bilirubin. There are two forms of CN. CN-1 is characterized by almost complete absence of UGT1A1 enzyme activity. Left untreated, CN-1 almost invariably results in death from bilirubin encephalopathy (kernicterus). CN-2 is characterized by intermediate levels of hyperbilirubinemia, due to a severe, but incomplete lack of UGT1A1 activity.","Congenital disorder of metabolism"
"H02408","Dipylidiasis","Dipylidiasis is a rare zoonotic infectious disease caused by Dipylidium caninum, a common intestinal tapeworm of dogs and cats. Humans get infection by accidental ingestion of the intermediate hosts. This parasitic disease is first described in humans in 1758.","Infectious disease"
"H00951","Reis-Bucklers corneal dystrophy","Reis-Bucklers corneal dystrophy (RBCD) is a progressive autosomal dominant dystrophy and patients are born with normal appearing corneas. In the first or second decade of life, corneal opacification and scarring cause marked visual loss and recurrent corneal erosions lead to significant pain. In RBCD, Bowman's membrane is disrupted or absent and instead is replaced by a fibrocellular tissue with deposition of rodlike bodies best seen with the electron microscope. Thiel-Behnke dystrophies (TBCD) share many similarities as well as some differences with RBCD. Both RBCD and TBCD are linked to mutations in the TGFBI gene.","Nervous system disease"
"H01883","Nestor-Guillermo progeria syndrome","Nestor-Guillermo progeria syndrome (NGPS) is a new hereditary progeroid syndrome. The progeria syndromes appear to cause rapid aging through disruption of normal nuclear structure. They are characterized by features of normal aging such as alopecia, skin wrinkling, osteoporosis, insulin resistance, and cardiovascular disease. Numerous childhood-onset progeroid syndromes have been reported. Due to their early manifestation and fast and fatal course, most of them can be termed as acute progerias. Recently, a mutation in the BANF1 gene was identified as the genetic basis of NGPS. This mutation was described to cause instability in the BANF1 protein, causing a disruption of the nuclear envelope structure.","Congenital disorder of metabolism"
"H00509","3M syndrome","The 3M syndrome is an autosomal recessive disorder characterized by pre- and postnatal growth retardation. It is caused by mutations in CUL7 and OBSL1.","Congenital malformation"
"H02098","D-bifunctional protein deficiency","D-bifunctional protein (DBP) deficiency is an autosomal recessive inborn error of peroxisomal fatty acid oxidation. DBP is a homodimeric enzyme with 79-kDa subunits, each of which consists of three functional units. And it catalyzes the second and third steps of peroxisomal beta-oxidation of fatty acids. The biochemical hallmark of this disorder is the accumulation of very long-chain fatty acids (VLCFA), 2-methyl branched-chain fatty acids, and the bile acid intermediates (DHCA/THCA). The clinical presentation is very severe, and most affected children die within the first 2 years of life. Virtually all patients present with neonatal hypotonia and seizures.","Congenital disorder of metabolism"
"H01279","Isobutyryl-CoA dehydrogenase deficiency","Isobutyryl-CoA dehydrogenase (IBD) deficiency is a rare inborn error of valine metabolism. The patients present dilated cardiomyopathy, anemia, and carnitine deficiency. Mutations in the ACAD8 gene cause IBD deficiency.","Inherited metabolic disease"
"H01877","Chromosome 15q13.3 microdeletion syndrome","Chromosome 15q13.3 microdeletion syndrome causes a spectrum of cognitive disorders. The syndrome is caused by microdeletions in the 15q13.2q-13.3 region. This chromosomal region contains seven genes and is flanked by a breakpoint (BP) on each side. About 80% of patients with this syndrome have one or more neuropsychiatric diagnoses, including developmental disability/intellectual disability, autism spectrum disorder, speech problems, and attention deficit hyperactivity disorder (ADHD). The neuropsychiatric phenotypes of 15q13.3 microdeletion syndrome have been proposed to be caused by haploinsufficiency of CHRNA7, which is one of the seven genes.","Chromosomal abnormality"
"H00199","Dihydropyrimidinase deficiency","Dihydropyrimidinase deficiency is characterized by dihydropyrimidinuria and is associated with seizures and mental retardation.","Inherited metabolic disease; Nervous system disease"
"H00704","Oculopharyngeal muscular dystrophy","Oculopharyngeal muscular dystrophy (OPMD) is an autosomal dominant, late-onset muscle disease associated with progressive ptosis of the eyelids, dysphagia, and unique tubulofilamentous intranuclear inclusions (INIs) in skeletal muscle. OPMD is caused by expansions of the short (GCG) trinucleotide repeat in the coding sequence of the poly(A) binding protein nuclear 1 (PABPN1) gene. To date OPMD is considered as a primary myopathic disorder and there is little morphologic evidence for neurogenic etiology, though the peripheral nervous system (PNS) seems to be affected in some rare cases.","Nervous system disease; Musculoskeletal disease"
"H02053","Fechtner syndrome","Fechtner syndrome is a rare autosomal dominant progressive nephropathy associated with macrothrombocytopenia. Sensorineural hearing loss can also occur. Fechtner syndrome shows the additional features of cataracts and blue leukocyte inclusion bodies (Doehle-like bodies). It is linked to mutations in MYH9, the nonmuscle myosin heavy chain.","Cardiovascular disease"
"H02261","PEBAT","Early-onset progressive encephalopathy with brain atrophy and thin corpus callosum (PEBAT) is an autosomal recessive neurodevelopmental and neurodegenerative disorder. Clinical features include developmental delay and profound intellectual disability, seizures, progressive spasticity, and early-onset cortical atrophy. Mutations in TBCD cause PEBAT. TBCD encodes one of the five co-chaperones playing a pivotal role in microtubule assembly.","Nervous system disease"
"H00536","Cerebral autosomal dominant arteriopathy with subcortical infarcts and leucoencephalopathy (CADASIL)","CADASIL is a chronic cerebrovascular disorder characterized by recurrent ischemic attacks and frequent migraines associated with diffuse white-matter abnormalities. CADASIL is caused by mutations in the NOTCH3 gene.","Developmental disorder; Vascular disease"
